datetime,date,settlement_period,national_demand,transmission_system_demand,england_wales_demand,wind_generation,solar_generation,hour,day,month,weekday,is_weekend
2023-01-01 00:00:00,2023-01-01,1,21043,24680,18995,2815,0,0,1,1,Sunday,True
2023-01-01 00:30:00,2023-01-01,2,21756,25289,19730,2793,0,0,1,1,Sunday,True
2023-01-01 01:00:00,2023-01-01,3,21348,25269,19327,2773,0,1,1,1,Sunday,True
2023-01-01 01:30:00,2023-01-01,4,20586,24574,18589,2753,0,1,1,1,Sunday,True
2023-01-01 02:00:00,2023-01-01,5,19781,24135,17806,2712,0,2,1,1,Sunday,True
2023-01-01 02:30:00,2023-01-01,6,19077,23505,17105,2671,0,2,1,1,Sunday,True
2023-01-01 03:00:00,2023-01-01,7,18511,22969,16459,2615,0,3,1,1,Sunday,True
2023-01-01 03:30:00,2023-01-01,8,17803,22278,15691,2558,0,3,1,1,Sunday,True
2023-01-01 04:00:00,2023-01-01,9,17363,21875,15221,2511,0,4,1,1,Sunday,True
2023-01-01 04:30:00,2023-01-01,10,17096,21654,14936,2464,0,4,1,1,Sunday,True
2023-01-01 05:00:00,2023-01-01,11,17091,22058,14910,2380,0,5,1,1,Sunday,True
2023-01-01 05:30:00,2023-01-01,12,17231,22240,15034,2295,0,5,1,1,Sunday,True
2023-01-01 06:00:00,2023-01-01,13,17748,22680,15545,2226,0,6,1,1,Sunday,True
2023-01-01 06:30:00,2023-01-01,14,18115,23028,15894,2156,0,6,1,1,Sunday,True
2023-01-01 07:00:00,2023-01-01,15,18743,23244,16449,2077,0,7,1,1,Sunday,True
2023-01-01 07:30:00,2023-01-01,16,19085,23490,16805,1997,0,7,1,1,Sunday,True
2023-01-01 08:00:00,2023-01-01,17,19675,23428,17346,1953,0,8,1,1,Sunday,True
2023-01-01 08:30:00,2023-01-01,18,20491,23746,18152,1909,113,8,1,1,Sunday,True
2023-01-01 09:00:00,2023-01-01,19,21442,23464,19046,1888,515,9,1,1,Sunday,True
2023-01-01 09:30:00,2023-01-01,20,22152,23637,19671,1867,871,9,1,1,Sunday,True
2023-01-01 10:00:00,2023-01-01,21,23089,24401,20476,1851,1162,10,1,1,Sunday,True
2023-01-01 10:30:00,2023-01-01,22,23828,24992,21122,1835,1379,10,1,1,Sunday,True
2023-01-01 11:00:00,2023-01-01,23,24677,26040,21847,1839,1453,11,1,1,Sunday,True
2023-01-01 11:30:00,2023-01-01,24,25591,26854,22660,1843,1394,11,1,1,Sunday,True
2023-01-01 12:00:00,2023-01-01,25,26670,27966,23654,1803,1251,12,1,1,Sunday,True
2023-01-01 12:30:00,2023-01-01,26,27296,28553,24203,1762,1107,12,1,1,Sunday,True
2023-01-01 13:00:00,2023-01-01,27,27541,28815,24417,1693,959,13,1,1,Sunday,True
2023-01-01 13:30:00,2023-01-01,28,27670,28993,24548,1624,695,13,1,1,Sunday,True
2023-01-01 14:00:00,2023-01-01,29,27881,29217,24760,1534,512,14,1,1,Sunday,True
2023-01-01 14:30:00,2023-01-01,30,28315,29636,25232,1444,282,14,1,1,Sunday,True
2023-01-01 15:00:00,2023-01-01,31,28818,30336,25684,1377,94,15,1,1,Sunday,True
2023-01-01 15:30:00,2023-01-01,32,29486,30969,26320,1310,8,15,1,1,Sunday,True
2023-01-01 16:00:00,2023-01-01,33,30837,32160,27525,1234,0,16,1,1,Sunday,True
2023-01-01 16:30:00,2023-01-01,34,31927,33230,28510,1158,0,16,1,1,Sunday,True
2023-01-01 17:00:00,2023-01-01,35,32628,34003,29230,1119,0,17,1,1,Sunday,True
2023-01-01 17:30:00,2023-01-01,36,32478,33859,29154,1079,0,17,1,1,Sunday,True
2023-01-01 18:00:00,2023-01-01,37,31740,33007,28532,1044,0,18,1,1,Sunday,True
2023-01-01 18:30:00,2023-01-01,38,31062,32309,27976,1009,0,18,1,1,Sunday,True
2023-01-01 19:00:00,2023-01-01,39,30330,31475,27370,996,0,19,1,1,Sunday,True
2023-01-01 19:30:00,2023-01-01,40,29100,30275,26233,982,0,19,1,1,Sunday,True
2023-01-01 20:00:00,2023-01-01,41,28532,29486,25700,948,0,20,1,1,Sunday,True
2023-01-01 20:30:00,2023-01-01,42,28164,29156,25414,914,0,20,1,1,Sunday,True
2023-01-01 21:00:00,2023-01-01,43,27163,27978,24521,895,0,21,1,1,Sunday,True
2023-01-01 21:30:00,2023-01-01,44,26018,26756,23496,875,0,21,1,1,Sunday,True
2023-01-01 22:00:00,2023-01-01,45,25146,25754,22721,863,0,22,1,1,Sunday,True
2023-01-01 22:30:00,2023-01-01,46,24139,24790,21736,850,0,22,1,1,Sunday,True
2023-01-01 23:00:00,2023-01-01,47,22885,23783,20585,917,0,23,1,1,Sunday,True
2023-01-01 23:30:00,2023-01-01,48,21971,23151,19733,983,0,23,1,1,Sunday,True
2023-01-02 00:00:00,2023-01-02,1,21770,22893,19595,999,0,0,2,1,Monday,False
2023-01-02 00:30:00,2023-01-02,2,22351,23300,20205,1014,0,0,2,1,Monday,False
2023-01-02 01:00:00,2023-01-02,3,21904,22889,19799,1020,0,1,2,1,Monday,False
2023-01-02 01:30:00,2023-01-02,4,21285,22506,19339,1025,0,1,2,1,Monday,False
2023-01-02 02:00:00,2023-01-02,5,20818,22093,19009,1046,0,2,2,1,Monday,False
2023-01-02 02:30:00,2023-01-02,6,20379,22048,18584,1066,0,2,2,1,Monday,False
2023-01-02 03:00:00,2023-01-02,7,19895,21647,18104,1130,0,3,2,1,Monday,False
2023-01-02 03:30:00,2023-01-02,8,19426,21230,17642,1194,0,3,2,1,Monday,False
2023-01-02 04:00:00,2023-01-02,9,19180,20954,17410,1193,0,4,2,1,Monday,False
2023-01-02 04:30:00,2023-01-02,10,19055,20838,17262,1191,0,4,2,1,Monday,False
2023-01-02 05:00:00,2023-01-02,11,19251,20612,17498,1182,0,5,2,1,Monday,False
2023-01-02 05:30:00,2023-01-02,12,19699,20843,17887,1173,0,5,2,1,Monday,False
2023-01-02 06:00:00,2023-01-02,13,20794,21653,18869,1118,0,6,2,1,Monday,False
2023-01-02 06:30:00,2023-01-02,14,21628,22437,19626,1062,0,6,2,1,Monday,False
2023-01-02 07:00:00,2023-01-02,15,22774,23718,20705,1037,0,7,2,1,Monday,False
2023-01-02 07:30:00,2023-01-02,16,23473,24429,21337,1012,0,7,2,1,Monday,False
2023-01-02 08:00:00,2023-01-02,17,24661,25797,22382,989,0,8,2,1,Monday,False
2023-01-02 08:30:00,2023-01-02,18,25655,26758,23320,965,174,8,2,1,Monday,False
2023-01-02 09:00:00,2023-01-02,19,26657,27845,24176,967,791,9,2,1,Monday,False
2023-01-02 09:30:00,2023-01-02,20,27194,28319,24604,968,1599,9,2,1,Monday,False
2023-01-02 10:00:00,2023-01-02,21,27535,28762,24850,982,2489,10,2,1,Monday,False
2023-01-02 10:30:00,2023-01-02,22,27388,28677,24649,996,3211,10,2,1,Monday,False
