date,sap_actual_p_per_kwh,sap_7day_rolling_average_p_per_kwh
2023-01-01,5.7764,5.9602
2023-01-02,5.9978,5.9704
2023-01-03,5.6898,5.9326
2023-01-04,5.0746,5.8222
2023-01-05,5.0837,5.7133
2023-01-06,5.1781,5.6238
2023-01-07,5.6533,5.53
2023-01-08,5.8583,5.4934
2023-01-09,5.8128,5.5051
2023-01-10,5.6208,5.4787
2023-01-11,5.4858,5.4688
2023-01-12,5.6646,5.5275
2023-01-13,5.5287,5.6105
2023-01-14,5.4769,5.6606
2023-01-15,5.6585,5.6354
2023-01-16,5.2956,5.6069
2023-01-17,5.1855,5.533
2023-01-18,5.3021,5.4708
2023-01-19,5.3267,5.4446
2023-01-20,5.4732,5.3963
2023-01-21,5.6976,5.3884
2023-01-22,6.1565,5.4199
2023-01-23,5.8806,5.491
2023-01-24,5.1437,5.5746
2023-01-25,5.1564,5.5686
2023-01-26,4.9906,5.5478
2023-01-27,5.1437,5.4998
2023-01-28,4.8627,5.4527
2023-01-29,4.6852,5.3335
2023-01-30,4.8194,5.1233
2023-01-31,5.0169,4.9717
2023-02-01,5.2649,4.9536
2023-02-02,5.0372,4.9691
2023-02-03,5.1112,4.9757
2023-02-04,5.3017,4.9711
2023-02-05,5.5399,5.0338
2023-02-06,5.347,5.1559
2023-02-07,4.9653,5.2313
2023-02-08,4.7297,5.2239
2023-02-09,4.6503,5.1474
2023-02-10,4.8045,5.0922
2023-02-11,4.6578,5.0483
2023-02-12,4.5557,4.9564
2023-02-13,4.4833,4.8158
2023-02-14,4.5649,4.6924
2023-02-15,4.6714,4.6352
2023-02-16,4.4046,4.6268
2023-02-17,4.1138,4.5917
2023-02-18,4.0518,4.4931
2023-02-19,4.0283,4.4065
2023-02-20,4.1076,4.3312
2023-02-21,4.3462,4.2775
2023-02-22,4.2262,4.2462
2023-02-23,4.4584,4.1826
2023-02-24,4.5793,4.1903
2023-02-25,4.4448,4.2568
2023-02-26,4.4524,4.313
2023-02-27,4.2583,4.3736
2023-02-28,4.144,4.3951
2023-03-01,4.2508,4.3662
2023-03-02,4.3259,4.3697
2023-03-03,4.2215,4.3508
2023-03-04,4.3246,4.2997
2023-03-05,4.3304,4.2825
2023-03-06,4.0239,4.2651
2023-03-07,4.145,4.2316
2023-03-08,4.0816,4.2317
2023-03-09,4.0005,4.2076
2023-03-10,4.4084,4.1611
2023-03-11,4.5827,4.1878
2023-03-12,4.3641,4.2246
2023-03-13,4.2586,4.2295
2023-03-14,3.9126,4.263
2023-03-15,3.8679,4.2298
2023-03-16,3.6698,4.1993
2023-03-17,3.5555,4.152
2023-03-18,3.5183,4.0302
2023-03-19,3.5349,3.8781
2023-03-20,3.3642,3.7597
2023-03-21,3.2671,3.6319
2023-03-22,3.2357,3.5397
2023-03-23,3.4552,3.4494
2023-03-24,3.5515,3.4187
2023-03-25,3.6028,3.4181
2023-03-26,3.681,3.4302
2023-03-27,3.4372,3.4511
2023-03-28,3.6083,3.4615
2023-03-29,3.5781,3.5102
2023-03-30,3.5198,3.5592
2023-03-31,3.872,3.5684
2023-04-01,3.9539,3.6142
2023-04-02,3.9331,3.6643
2023-04-03,4.0326,3.7003
2023-04-04,3.8605,3.7854
2023-04-05,3.8524,3.8214
2023-04-06,3.4216,3.8606
2023-04-07,3.4842,3.8466
2023-04-08,3.4248,3.7912
2023-04-09,3.4209,3.7156
2023-04-10,3.2771,3.6424
2023-04-11,3.4141,3.5345
2023-04-12,3.513,3.4707
2023-04-13,3.4194,3.4222
2023-04-14,3.4185,3.4219
2023-04-15,3.3345,3.4125
2023-04-16,3.4262,3.3996
2023-04-17,3.4138,3.4004
2023-04-18,3.4168,3.4199
2023-04-19,3.1113,3.4203
2023-04-20,3.2708,3.3629
2023-04-21,3.3418,3.3417
2023-04-22,3.3697,3.3307
2023-04-23,3.3897,3.3358
2023-04-24,3.3062,3.3306
2023-04-25,3.282,3.3152
2023-04-26,3.1606,3.2959
2023-04-27,3.1993,3.303
2023-04-28,3.0995,3.2928
2023-04-29,3.043,3.2581
2023-04-30,2.9564,3.2115
2023-05-01,3.0494,3.1496
2023-05-02,3.0453,3.1129
2023-05-03,2.8993,3.0791
2023-05-04,2.8282,3.0417
2023-05-05,2.8455,2.9887
2023-05-06,3.0241,2.9524
2023-05-07,2.9153,2.9497
2023-05-08,3.0113,2.9439
2023-05-09,3.0073,2.9384
2023-05-10,2.8513,2.933
2023-05-11,2.831,2.9261
2023-05-12,2.7027,2.9265
2023-05-13,2.7062,2.9061
2023-05-14,2.6571,2.8607
2023-05-15,2.4804,2.8238
2023-05-16,2.5115,2.748
2023-05-17,2.4362,2.6772
2023-05-18,2.2631,2.6179
2023-05-19,2.1833,2.5367
2023-05-20,2.281,2.4625
2023-05-21,2.1997,2.4018
2023-05-22,2.2011,2.3365
2023-05-23,2.2949,2.2966
2023-05-24,2.2564,2.2656
2023-05-25,2.1022,2.2399
2023-05-26,1.9888,2.2169
2023-05-27,2.1339,2.1892
2023-05-28,2.0911,2.1681
2023-05-29,2.0942,2.1526
2023-05-30,2.0764,2.1374
2023-05-31,2.166,2.1061
2023-06-01,2.0401,2.0932
2023-06-02,1.9442,2.0844
2023-06-03,1.9227,2.0779
2023-06-04,2.009,2.0478
2023-06-05,2.3043,2.0361
2023-06-06,2.2804,2.0661
2023-06-07,2.2317,2.0952
2023-06-08,2.2173,2.1046
2023-06-09,2.5993,2.1299
2023-06-10,2.7737,2.2235
2023-06-11,2.8773,2.3451
2023-06-12,2.7726,2.4691
2023-06-13,2.8777,2.536
2023-06-14,3.2257,2.6214
2023-06-15,3.5064,2.7634
2023-06-16,2.9587,2.9475
2023-06-17,2.9445,2.9989
2023-06-18,2.9119,3.0233
2023-06-19,2.927,3.0282
2023-06-20,3.26,3.0503
2023-06-21,3.2578,3.1049
2023-06-22,2.9917,3.1095
2023-06-23,2.8461,3.0359
2023-06-24,2.9502,3.0199
2023-06-25,2.994,3.0207
2023-06-26,2.9258,3.0324
2023-06-27,2.9166,3.0322
2023-06-28,2.898,2.9832
2023-06-29,2.8786,2.9318
2023-06-30,3.0051,2.9156
2023-07-01,3.251,2.9383
2023-07-02,3.2729,2.9813
2023-07-03,3.0712,3.0211
2023-07-04,2.929,3.0419
2023-07-05,2.8748,3.0437
2023-07-06,2.6464,3.0404
2023-07-07,2.7218,3.0072
2023-07-08,2.7663,2.9667
2023-07-09,2.7941,2.8975
2023-07-10,2.6142,2.8291
2023-07-11,2.4928,2.7638
2023-07-12,2.2734,2.7015
2023-07-13,2.1875,2.6156
2023-07-14,2.1788,2.55
2023-07-15,2.0175,2.4724
2023-07-16,1.9735,2.3655
2023-07-17,2.0301,2.2482
2023-07-18,2.2726,2.1648
2023-07-19,2.3116,2.1333
2023-07-20,2.3818,2.1388
2023-07-21,2.4349,2.1666
2023-07-22,2.3859,2.2031
2023-07-23,2.2955,2.2558
2023-07-24,2.4476,2.3018
2023-07-25,2.7308,2.3614
2023-07-26,2.5213,2.4269
2023-07-27,2.3802,2.4568
2023-07-28,2.1854,2.4566
2023-07-29,2.0573,2.421
2023-07-30,2.0454,2.374
2023-07-31,2.1052,2.3383
2023-08-01,2.2661,2.2894
2023-08-02,2.3286,2.223
2023-08-03,2.5563,2.1955
2023-08-04,2.4855,2.2206
2023-08-05,2.4197,2.2635
2023-08-06,2.4008,2.3153
2023-08-07,2.4033,2.366
2023-08-08,2.4525,2.4086
2023-08-09,2.9852,2.4352
2023-08-10,2.9459,2.529
2023-08-11,2.7892,2.5847
2023-08-12,2.7947,2.6281
2023-08-13,2.9078,2.6817
2023-08-14,2.8159,2.7541
2023-08-15,3.0605,2.813
2023-08-16,3.0187,2.8999
2023-08-17,2.8874,2.9047
2023-08-18,2.9167,2.8963
2023-08-19,3.0703,2.9145
2023-08-20,3.3067,2.9539
2023-08-21,3.3353,3.0109
2023-08-22,3.6002,3.0851
2023-08-23,3.2802,3.1622
2023-08-24,2.8656,3.1995
2023-08-25,2.8888,3.1964
2023-08-26,2.9721,3.1924
2023-08-27,2.9199,3.1784
2023-08-28,3.1787,3.1232
2023-08-29,3.1241,3.1008
2023-08-30,3.0792,3.0328
2023-08-31,2.9442,3.0041
2023-09-01,3.0157,3.0153
2023-09-02,3.0688,3.0334
2023-09-03,3.0491,3.0472
2023-09-04,2.8197,3.0657
2023-09-05,2.7611,3.0144
2023-09-06,2.6865,2.9625
2023-09-07,2.6797,2.9064
2023-09-08,2.8402,2.8687
2023-09-09,3.0924,2.8436
2023-09-10,3.1562,2.847
2023-09-11,3.1864,2.8623
2023-09-12,3.0152,2.9146
2023-09-13,3.1623,2.9509
2023-09-14,3.1582,3.0189
2023-09-15,3.1734,3.0873
2023-09-16,3.2499,3.1349
2023-09-17,3.2215,3.1574
2023-09-18,3.0382,3.1667
2023-09-19,3.1978,3.1455
2023-09-20,3.2031,3.1716
2023-09-21,3.324,3.1774
2023-09-22,3.4909,3.2011
2023-09-23,3.4761,3.2465
2023-09-24,3.471,3.2788
2023-09-25,3.5758,3.3144
2023-09-26,3.3762,3.3912
2023-09-27,3.48,3.4167
2023-09-28,3.4764,3.4562
2023-09-29,3.3627,3.4781
2023-09-30,3.3641,3.4597
2023-10-01,3.3464,3.4437
2023-10-02,2.9765,3.4259
2023-10-03,2.5349,3.3403
2023-10-04,2.5818,3.2201
2023-10-05,2.302,3.0918
2023-10-06,2.7031,2.9241
2023-10-07,2.8659,2.8298
2023-10-08,2.987,2.7587
2023-10-09,3.1121,2.7073
2023-10-10,3.6963,2.7267
2023-10-11,3.8806,2.8926
2023-10-12,4.1613,3.0781
2023-10-13,4.5498,3.3438
2023-10-14,4.5149,3.6076
2023-10-15,4.568,3.8431
2023-10-16,4.2428,4.069
2023-10-17,3.6429,4.2305
2023-10-18,3.7466,4.2229
2023-10-19,3.5793,4.2038
2023-10-20,3.76,4.1206
2023-10-21,3.9143,4.0078
2023-10-22,4.0656,3.922
2023-10-23,4.1938,3.8502
2023-10-24,4.0928,3.8432
2023-10-25,4.1416,3.9075
2023-10-26,4.0918,3.9639
2023-10-27,4.1125,4.0371
2023-10-28,4.3452,4.0875
2023-10-29,4.3687,4.149
2023-10-30,4.346,4.1923
2023-10-31,3.9121,4.2141
2023-11-01,3.2298,4.1883
2023-11-02,3.4096,4.058
2023-11-03,3.4636,3.9606
2023-11-04,3.6952,3.8679
2023-11-05,3.5633,3.775
2023-11-06,3.5255,3.1509
2023-11-07,3.5615,3.0337
2023-11-08,3.5825,2.9836
2023-11-09,3.568,3.034
2023-11-10,3.5727,3.0566
2023-11-11,3.5302,3.0722
2023-11-12,3.353,3.0486
2023-11-13,3.2667,3.5276
2023-11-14,3.3906,3.4907
2023-11-15,3.6165,3.4662
2023-11-16,3.5951,3.4711
2023-11-17,3.5692,3.475
2023-11-18,3.5604,3.4745
2023-11-19,3.6003,3.4788
2023-11-20,3.7919,3.5141
2023-11-21,3.8561,3.5891
2023-11-22,3.8686,3.6556
2023-11-23,4.0511,3.6917
2023-11-24,4.1659,3.7568
2023-11-25,4.1504,3.842
2023-11-26,4.1593,3.9263
2023-11-27,3.9934,3.412
2023-11-28,3.8446,3.4408
2023-11-29,3.6292,3.4391
2023-11-30,3.7015,3.4049
2023-12-01,3.7111,3.355
2023-12-02,3.8564,3.29
2023-12-03,3.6017,3.248
2023-12-04,3.4556,3.7626
2023-12-05,3.3141,3.6857
2023-12-06,3.3199,3.6099
2023-12-07,3.4006,3.5658
2023-12-08,3.2734,3.5228
2023-12-09,3.188,3.4602
2023-12-10,3.211,3.3648
2023-12-11,3.0761,3.3089
2023-12-12,2.9226,3.2547
2023-12-13,2.8879,3.1988
2023-12-14,2.8311,3.1371
2023-12-15,2.6839,3.0557
2023-12-16,2.5297,2.9715
2023-12-17,2.5843,2.8775
